"","DATE","age","bmr","height","m_active_time","m_calories","m_distance","m_inactive_time","m_lcat","m_lcit","m_steps","m_total_calories","s_asleep_time","s_awake","s_awake_time","s_awakenings","s_bedtime","s_clinical_deep","s_count","s_deep","s_duration","s_light","s_quality","s_rem","weight"
"59",20150228,23.1835616438356,1973.0053,1.87,8793,969.01036781364,15177,17100,2836,5460,17199,2942.01566781364,32699,281,33900,0,32420,0,1,0,1441,1441,2,0,82
"60",20150301,23.186301369863,1972.98679315069,1.87,8806,999.077359710517,15393,17940,2015,5220,17381,2972.0641528612,4979,2393,33300,3,4566,0,1,5655,26572,20917,60,0,82
"61",20150302,23.1890410958904,1972.96828630137,1.87,6386,639.978658594098,10426,24960,1181,3660,12174,2612.94694489547,1858,1700,22800,2,1137,0,1,10663,20234,9571,56,0,82
"62",20150303,23.1917808219178,1972.94977945205,1.87,4611,457.510869816158,7517,27960,1719,8280,8827,2430.46064926821,5999,1496,36900,1,5217,0,1,12302,30283,17981,83,0,82
"63",20150304,23.1945205479452,1972.93127260274,1.87,3105,299.225597165327,5087,26820,346,7440,5930,2272.15686976807,6180,2633,35700,1,4036,0,1,17459,29257,11798,91,0,82
"64",20150305,23.1972602739726,1972.91276575342,1.87,5181,505.151170023097,8368,27360,748,6420,9822,2478.06393577652,9060,1284,29700,1,8079,0,1,7084,20577,13493,53,0,82
"65",20150306,23.2,1972.89425890411,1.87,8987,946.750947598521,15147,25560,2786,9240,17465,2919.64520650263,3118,2728,29100,6,2403,0,1,8400,24070,15670,58,0,82
"66",20150307,23.2027397260274,1972.87575205479,1.87,4879,456.868750965039,7793,26760,1414,6840,9212,2429.74450301983,9718,1525,26100,3,9229,0,1,10097,15623,5526,47,0,82
"67",20150308,23.2054794520548,1972.85724520548,1.87,2549,240.48168831867,4058,29940,567,20100,4812,2213.33893352415,9778,1396,34200,2,9361,0,1,9062,23471,14409,62,0,82
"68",20150309,23.2082191780822,1972.83873835616,1.87,4190,395.128154456491,6700,26280,613,4920,7907,2367.96689281266,2339,1092,29400,1,1953,0,1,13679,26558,12879,77,0,82
"69",20150310,23.2109589041096,1972.82023150685,1.87,4545,439.368459686621,7357,28320,719,12480,8652,2412.18869119347,9359,721,25800,0,8640,0,1,6778,16705,9927,45,0,82
"70",20150311,23.213698630137,1972.80172465753,1.87,3839,361.327524484296,6120,24120,1045,3780,7231,2334.12924914183,899,1782,29100,2,104,0,1,11600,27507,15907,74,0,82
"71",20150312,23.2164383561644,1972.78321780822,1.87,5157,487.631171254228,8157,27480,881,8220,9662,2460.41438906245,5700,1338,36000,0,4364,0,1,10131,30532,20401,79,0,82
"72",20150313,23.2191780821918,1972.7647109589,1.87,7394,766.171080226405,12158,20160,2661,4140,14112,2738.93579118531,7078,2128,29400,2,6237,0,1,8531,21070,12539,57,0,82
"73",20150314,23.2219178082192,1972.74620410959,1.87,8413,984.887185398685,14978,19680,3787,7320,16778,2957.63338950827,11039,680,32100,0,10363,0,1,7571,21074,13503,55,0,82
"74",20150315,23.2246575342466,1972.72769726027,1.87,3229,330.022491037603,5441,28380,1209,5280,6298,2302.75018829788,5278,1203,33900,3,4854,0,1,9959,28083,18124,72,0,82
"75",20150316,23.227397260274,1972.70919041096,1.87,4117,366.675898711585,6283,26280,1033,5700,7583,2339.38508912254,1199,1182,25800,1,304,0,1,7576,24419,16843,62,0,82
"76",20150317,23.2301369863014,1972.69068356164,1.87,2955,276.989054546175,4673,27000,456,9060,5550,2249.67973810782,6058,612,37200,0,5448,0,1,11579,31263,19684,84,0,82
